Soil_Type,Soil_Moisture_%,Shear_Strength_kPa,Bearing_Capacity_kPa,Excavation_Depth_m,Retaining_Wall_Type,Support_System,Deformation_mm,Rainfall_mm_day,Temperature_C,Groundwater_Level_m,Seismic_Activity,Ground_Settlement_mm,Wall_Displacement_mm,Pore_Water_Pressure_kPa,Strain_Gauge,Risk_Level
Silt,22.45404285049363,179.77044628405451,513.7594610531515,10.73602782103232,Sheet Pile,Bracing,3.503434786059473,95.42927519780986,2.645510397389792,6.546211935154629,1,70.9272011669813,47.24177265103687,357.8943517647667,50.00923357822332,2
Rock,18.40240915860301,169.79546940743273,482.26389732735885,24.6712884335291,Sheet Pile,None,2.8312778688779017,26.176227710715196,18.37702331889829,7.093142948034834,0,53.21111338370037,38.98043212712325,146.99447829704542,10.33004778132799,2
Clay,12.738190407158193,56.41051645160892,386.76447572778665,29.925423297397273,Diaphragm Wall,Anchors,6.018907475276691,47.113186918900254,3.94215642914547,5.861823540883414,0,47.78770771227306,30.105091506367486,238.8446351865523,19.764778111961533,2
Silt,25.344875492673715,135.31195690653908,578.0235718059665,3.810702143893606,Sheet Pile,Bracing,29.03842918072108,186.5007906194765,41.729551560662124,3.572419681701362,0,22.349431425583997,22.74801586965055,134.6785907238131,47.96319561995268,1
Silt,22.118279313846983,145.04890469646426,200.2372577642014,27.228878376355162,Diaphragm Wall,Bracing,46.43817106027462,171.9005951249796,39.82691823594455,5.770533417135443,1,70.5595789776492,17.808926716421052,53.737178505498385,88.75889907188584,2
Rock,9.065423483622283,149.7056952242251,154.63210515481072,19.811024407163767,Diaphragm Wall,None,24.837171400299223,141.95701004479452,21.17433577557563,3.422655927897462,0,19.08094914463071,47.354377348777774,486.5258120171312,56.639072063109744,2
Clay,27.773179612346063,195.04309230683307,526.9809834777111,29.28133071745017,Sheet Pile,Bracing,42.14727412280986,96.44504606746531,9.49331955930624,0.8387373855201208,0,55.284179598476825,30.14544057123428,244.26634039538857,68.15350002084708,2
Clay,25.563431073079226,183.40063668171962,319.57490831687414,15.555256973213545,Diaphragm Wall,Bracing,22.294330992990393,104.06472523827715,10.963078511910457,9.928039781860145,1,25.32453630402508,28.953626384299724,486.20732648892135,33.90285497439097,2
Silt,28.7449978322981,201.97627319836116,523.4844271035302,25.87947412542709,Secant Pile,Bracing,35.42917728839126,195.04890705679173,12.651875572947333,1.271824536325109,1,95.56213797813561,11.595056088445743,113.14558389552174,57.141139304423426,2
Sand,23.142987709709,241.22081538553206,546.5451025977075,4.684639852153485,Sheet Pile,Bracing,36.59363686432504,193.15408877685744,30.016862717421922,0.7234838383605735,1,2.8631193835652824,2.334890894255653,314.3150507558687,44.73798226380674,2
Silt,20.33537989839475,253.24643467902337,131.2287968095357,12.052534352113984,Sheet Pile,Bracing,8.698185295166933,43.05380915716685,14.840144753536084,8.78530749207156,1,19.972828011123656,47.25942898797722,140.43831475605782,65.91299126231607,2
Silt,15.456075907265472,229.5307690566236,541.7323814930303,4.80944651928267,Diaphragm Wall,None,18.060802948790588,162.22091326106363,37.120147057824354,3.018346608928951,0,24.231060638744772,15.686762942232695,405.5333571334736,5.057556607901037,0
Silt,28.31821208385033,288.8809239887337,324.15952768471107,29.334264603934905,Diaphragm Wall,None,31.865107826901195,39.44853323340336,41.92521322617005,6.502969740735076,1,41.406782576781644,22.129451166222935,402.66634494243885,49.33002162389592,2
Silt,26.65159723751021,54.55814566909041,355.21624450211607,25.058295496339593,Sheet Pile,Bracing,3.5348304092183094,42.70749557679028,8.477038435841362,3.2900572966223285,0,23.273024187005355,5.731997179285342,100.6732170676903,29.599262514396695,2
Rock,6.130466752654735,98.94449642088652,413.2962555466051,26.018780373641203,Secant Pile,None,18.07700938814783,135.21860683291536,20.838196475662407,3.9145427079447117,1,49.134909026878525,41.8462164954646,460.4290037943751,32.61850612779092,2
Clay,5.6591743624313,51.89071874453553,563.1913033650434,28.325061248715144,Diaphragm Wall,None,26.739973314059622,81.00021971750968,-4.7718904742089565,2.621129720167965,0,87.2465523258539,1.3815916427965313,137.58334124145108,96.09174315580614,2
Rock,14.41158417195124,211.86867853865076,109.55804721488201,5.297794125234205,Diaphragm Wall,Anchors,49.811224652231935,186.30888142130405,1.0257976271497444,3.430440057930102,1,71.20634214091707,41.699538104954826,325.83980371521216,18.269481271138275,2
